Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
7/3/2023,335.37,317.99,317.94,292.65,299.4,53,-0.007,12508700
7/5/2023,335.53,319.04,318.62,293.37,300.12,50.69,0,18172400
7/6/2023,338.62,320.23,319.41,294.15,300.88,43.33,0.009,28161200
7/7/2023,334.6,321.47,320,294.9,301.55,44.83,-0.012,21185300
7/10/2023,329.25,322.2,320.37,295.51,302.1,43.85,-0.016,32791400
7/11/2023,329.89,322.77,320.74,296.13,302.65,48.83,0.002,26698200
7/12/2023,334.58,323.37,321.28,296.8,303.28,47.23,0.014,29995300
7/13/2023,340,324.12,322.02,297.61,304.01,58.29,0.016,20567200
7/14/2023,342.56,324.93,322.82,298.48,304.77,69.71,0.008,28302200
7/17/2023,343.05,325.76,323.62,299.41,305.53,65.19,0.001,20363900
7/18/2023,356.7,326.85,324.91,300.49,306.54,74.01,0.04,64872700
7/19/2023,352.32,327.74,325.99,301.49,307.45,68.96,-0.012,39732900
7/20/2023,344.18,328.51,326.7,302.46,308.17,55.7,-0.023,33778400
7/21/2023,341.1,329.26,327.27,303.39,308.83,55.15,-0.009,69368900
7/24/2023,342.43,329.92,327.86,304.35,309.49,56.08,0.004,26678100
7/25/2023,348.26,330.75,328.66,305.39,310.26,58.09,0.017,41637700
7/26/2023,335.15,331.33,328.92,306.26,310.75,50.4,-0.038,58383700
7/27/2023,328.15,331.77,328.89,307.01,311.1,49.22,-0.021,39635300
7/28/2023,335.74,332.31,329.15,307.83,311.59,53.79,0.023,28484900
7/31/2023,333.31,332.74,329.32,308.64,312.02,49.15,-0.007,25446000
8/1/2023,333.73,333.1,329.49,309.47,312.45,45.52,0.001,18311900
8/2/2023,324.96,333.28,329.31,310.22,312.69,38.45,-0.026,27761300
8/3/2023,324.12,333.39,329.11,311,312.92,37.64,-0.003,18253700
8/4/2023,325.24,333.64,328.96,311.74,313.16,25.42,0.003,23727700
8/7/2023,327.55,333.96,328.9,312.43,313.45,30,0.007,17741500
8/8/2023,323.52,333.96,328.69,313.04,313.65,32.14,-0.012,22327600
8/9/2023,319.73,333.75,328.34,313.5,313.77,31.75,-0.012,22373300
8/10/2023,320.42,333.58,328.03,313.94,313.9,31,0.002,20113700
8/11/2023,318.52,333.44,327.66,314.43,313.99,22.46,-0.006,24342600
8/14/2023,321.52,333.27,327.42,314.94,314.14,34.48,0.009,18836100
8/15/2023,319.36,333,327.1,315.43,314.24,38.74,-0.007,16966300
8/16/2023,318.59,332.71,326.77,315.87,314.33,23.39,-0.005,20698900
8/17/2023,315.09,332.39,326.31,316.24,314.34,22.64,-0.011,21257200
8/18/2023,314.69,332.26,325.85,316.65,314.35,21.4,-0.001,24744800
8/21/2023,320.06,332.21,325.63,317.13,314.46,41.8,0.017,24040000
8/22/2023,320.63,332.14,325.43,317.56,314.59,44.11,0.002,16102000
8/23/2023,325.15,332.05,325.42,318,314.8,49.87,0.014,21166400
8/24/2023,318.16,331.78,325.13,318.32,314.86,37.55,-0.021,23281400
8/25/2023,321.15,331.51,324.98,318.69,314.99,46.77,0.009,21684100
8/28/2023,321.87,331.04,324.86,319.07,315.12,53.18,0.002,14808500
8/29/2023,326.55,330.78,324.92,319.52,315.35,58.15,0.015,19284600
8/30/2023,326.93,330.61,325,319.9,315.58,61.66,0.001,15222100
8/31/2023,325.9,330.51,325.04,320.29,315.78,56.43,-0.003,26411000
9/1/2023,326.8,330.3,325.11,320.76,316,61.33,0.003,14931200
9/5/2023,331.66,330.29,325.36,321.27,316.31,67.72,0.015,18553900
9/6/2023,331,330.39,325.58,321.71,316.6,73.35,-0.002,17535800
